calculation_id,domain,required_inputs,equation_or_rule,output,missing_input_behaviour,primary_source,must_not_do
BASIC_FODDER_DEMAND_FRESH_WEIGHT,feed,supported animal class; headcount; farmer-planned winter months,headcount × planned months × current Teagasc t fresh pit silage/animal/month coefficient,tonnes fresh-weight silage planning demand,BLOCK unsupported class or missing planned months,TEAGASC_FODDER_2026_08_26,Do not present this as an energy/protein requirement or individual-animal DMI equation.
FODDER_DEMAND_DM,feed/nutrition,animal group; headcount; housing days; validated group/stage intake model or measured feeding record; forage DM basis,Σ(head × days × supported forage-DM requirement) for exact nutrition-level model,kg/t DM required,Use BASIC_FODDER_DEMAND_FRESH_WEIGHT for supported planning classes; otherwise block exact DM/nutrition result,enterprise-specific Irish evidence,Do not use 2% liveweight as a universal feed engine.
WINTER_FEED_POSITION,feed,supply and demand on SAME basis (fresh weight or DM); explicit reserve strategy; wastage treatment,"surplus = usable supply - demand - explicit reserve; if DM basis, days_cover = usable DM / daily DM demand; if fresh-weight planning basis, report months/tonnes only unless conversion is supported",surplus/shortfall + basis + evidence level,BLOCK if units/basis are mixed or either side is unsupported,TEAGASC_FODDER_2026_08_26; TEAGASC_BEEF_SILAGE_2026_07; farm measurements,Never compare tonnes fresh weight directly to tonnes DM; never double-count conservation/wastage loss or reserve.
COMMONAGE_FERTILISER_GATE,land/compliance,field commonage status; proposed nutrient/application,if commonage=true: chemical fertiliser prohibited; organic-N stocking allowance <=50 kg N/ha,PERMITTED/PROHIBITED + reason,UNKNOWN where relevant,LAW_IE_SI_588_2025,Do not treat commonage as ordinary grassland.
LESS_METHOD_GATE,spreading/compliance,GSR; slurry origin; land use; method; H&S exception evidence,apply Article19 LESS triggers and documented exception,METHOD_COMPLIANT/NON_COMPLIANT/UNKNOWN,Do not certify slurry plan,LAW_IE_SI_588_2025,Do not assume LESS merely to get a higher agronomic N credit.
SOILED_WATER_APPLICATION_GATE,spreading/compliance,area; prior 42-day volume; proposed volume; application rate,"cumulative litres/ha <=50000 in 42d and rate <=5 mm/hour, plus other rules",PERMITTED/PROHIBITED,UNKNOWN,LAW_IE_SI_588_2025,Do not ignore prior 42-day applications.
CONCENTRATE_P_COMPLIANCE,nutrient/compliance,previous-year livestock-manure N; concentrate amount; P content if known,threshold=300kg concentrate per92kg manure-N; count P on excess; unknown P content=0.5kg/100kg default,available P contribution,BLOCK if manure-N or concentrate amount missing,LAW_IE_SI_588_2025,Do not count all concentrate P without threshold.
FEED_CP_LEGAL_GATE,feed/compliance,date; grazing status; animal class/age; concentrate CP%,15 Apr–30 Sep dairy cows and cattle >=2 years at grass: maximum 14% CP in concentrate,COMPLIANT/NON_COMPLIANT/NOT_APPLICABLE,UNKNOWN,LAW_IE_SI_588_2025,Do not let feed optimiser breach this cap.
SILAGE_DESTINATION_REGULATORY_ROUTE,nutrient/compliance,silage destination; GSR/no-livestock status; cut; sale evidence; P index,select Table16/17 only when exact sale conditions pass; otherwise ordinary route,selected route + N/P maximum,Do not use sale route,LAW_IE_SI_588_2025,Do not treat all silage fields identically.
FERTILISER_PRODUCT_ADMISSIBILITY,input planning/compliance,formulation; physical form; ureic-N%; inhibitor status; P content; legal route,apply current uninhibited solid-urea exclusion before product optimisation,ADMISSIBLE/NOT_ADMISSIBLE/UNKNOWN,Do not recommend unknown product,LAW_IE_SI_588_2025; LAW_IE_SI_119_2026,Do not infer inhibitor status from product name.
RECOMMENDATION_AUDIT_TRACE,reports/governance,calculation run; inputs; steps; rules/models; sources; compliance; assumptions; gaps; decision status,persist immutable trace at calculation time; reports serialize stored trace,peer-reviewable recommendation trace,recommendation not production-valid,ENGINE_AUDIT_RULE,Do not reverse-engineer an old rationale with an LLM.
